ID,SIM,interval,ETA1,ETA2,ETA3,ETA4
8,5,3,-0.222037813095317,0.0187306453468917,0.108313992866951,0.230122968980785
9,5,3,-0.336438535960551,0.0276854086752523,0.112647727459578,0.365350573856625
10,5,3,0.138287482840771,-0.0132096153687322,-0.299723304621824,0.0128667338313495
11,5,3,-0.110050103328483,0.00948422702098854,0.0189473202614888,0.105803394425988
12,5,3,0.131191271078195,-0.0145635890979056,0.176499160153088,-0.306256067667495
1,6,3,0.285756863868671,-0.022133293483227,-0.299923144259753,-0.330316606041725
2,6,3,-0.34574633985019,0.0260115920507129,0.186742437918909,0.377621951166178
3,6,3,-0.117625318688924,0.0101201349775298,0.143088723778494,0.0757495011147512
4,6,3,0.417643070521641,-0.0527442933544552,0.417313342745825,-0.675810094564283
5,6,3,-0.20177009999232,0.0148148483871023,0.141044626945788,0.105680773880364
6,6,3,0.148455706542925,-0.0164745931899457,0.198506598580869,-0.324209650438661
7,6,3,0.194731927929986,-0.0215341417163501,0.215122421961706,-0.365665807312514
8,6,3,-0.273114589770604,0.0240172202831692,0.140450631543655,0.239831886420387
9,6,3,-0.377315697232559,0.0306019016623551,0.186423638917433,0.30201650067509
10,6,3,-0.0559402669285953,0.0061720660604991,0.0010811734258504,0.0278012864694676
11,6,3,0.145825680630485,-0.0175375384831259,0.235284709700848,-0.381402107952334
12,6,3,0.202613806150451,-0.0249143144053223,0.320044971732351,-0.47430806794918
1,7,3,0.262464513505937,-0.0228007575154908,0.150865460189607,-0.321194771891201
2,7,3,0.0216822925609419,-0.00216679715339446,-0.186567062975845,0.179981672307249
3,7,3,-0.495461579831578,0.0451534343860519,0.0335449628918346,0.266725617865285
4,7,3,0.228114869342786,-0.0259791183374501,0.218764531002444,-0.371391687883248
5,7,3,-0.223063715059987,0.0191145637833361,0.0679152879971112,0.185092184355557
6,7,3,0.0655221445130588,-0.00663743327486237,0.0173281628867003,-0.128831355948614
7,7,3,0.207510484914014,-0.0254144430160664,0.22162984965484,-0.373930686773242
8,7,3,0.173849378855384,-0.0157692598252823,0.197645082972471,-0.332886475473279
9,7,3,0.182703983477041,-0.0210889388447026,0.213949151132179,-0.409135477623334
